Author_name,Batch_name,Review_date,total_star_comment,all_stars,Title_comment,Placements,Infrastructure,Faculty,other
Harikarthikeya,Harikarthikeya | B.Tech. in Computer Science and Engineering - Batch of 2022,Reviewed on 20 Feb 2023,3.6,3.6 \nPlacements 3\nInfrastructure 4\nFaculty & Course Curriculum 4\nCrowd & Campus Life 4\nValue for Money 3,I was very satisfied by choosing this college .,"Placements: 79% of students are placed in our college. INR 15 LPA is the highest package and INR 4 LPA is the lowest package. TCS, BOSCH, TATA etc. are the top recruiting companies in our college. This college has so many internship programs to provide better opportunities to students and it will be very helpful to them.",Infrastructure: Free Wi-Fi is available in our college. Labs and classrooms are very good. Infrastructure of college and hostel is excellent. Food which is available in our hostel is very good and canteen is best for all specials. There is a medical facility in our college. There are so many sports and games in our college.,"Faculty: Teachers are well qualified and they deal with us so friendly and also teaching quality is so good. Yes, this course is curriculum relevant and it makes the students industry ready. Semester exams in our college are not too difficult but it is little easy to pass.","Other: Not safe environment outside the campus. This is not in a main city, but it is in a village."
Gagan Giri,Gagan Giri | Bachelor of Business Administration (BBA) - Batch of 2025,Reviewed on 11 Feb 2023,2,2.0 \nPlacements 2\nInfrastructure 2\nFaculty & Course Curriculum 3\nCrowd & Campus Life 2\nValue for Money 1,"Absolutely dissatisfied, because of the fake reviews about the college.",Placements: Management is the best role offered for our course. Accountant can also be considered as another top role offered.,"Infrastructure: Wi-Fi facility and classrooms are good. There College has strict rules, and dress code to be followed. The mess food is not so good.",Faculty: Teachers are helpful. They try their best to make us understand a topic clearly.,"Other: Value for money is rated 2 stars because the college provides various facilities, but some students feel that the hostel fees are a bit high compared to other private colleges. The crowd and campus life are amazing, with numerous clubs and frequent hosting of cool events and functions, making it enjoyable."
M MANOJ KUMAR REDDY,M MANOJ KUMAR REDDY | B.Tech. in Computer Science and Engineering - Batch of 2026,Reviewed on 31 Jan 2023,3.2,3.2 \nPlacements 3\nInfrastructure 4\nFaculty & Course Curriculum 3\nCrowd & Campus Life 3\nValue for Money 3,Our college provides good infrastructure but faculty members and placements are not good.,"Placements: The highest salary package offered is 12 LPA, the average salary package is 3 LPA to 6 LPA, and the lowest salary package is 1.5 LPA. Around 50% of students get placed. I don't know about recruiting companies.","Infrastructure: The infrastructure of our college is good. Library, administration block, and food court were beautiful with a great infrastructure. Labs and classroom are good. Ground is available but it is not used as there is no PT teacher because most of the time the ground is under maintenance. Canteen food is good with a cost of Rs.65 in the food court.",Faculty: Teachers in our college are good and help students to perform well but some teachers just try to complete the syllabus. The pass percentage in every subject is 50%. The course curriculum doesn't make students industry ready.,
Prashant,Prashant | Master of Business Administration (MBA) - Batch of 2023,Reviewed on 23 Nov 2022,4.2,4.2 \nPlacements 4\nInfrastructure 4\nFaculty & Course Curriculum 5\nCrowd & Campus Life 4\nValue for Money 4,This college is good for MBA students.,Placements: Alliance invites well-known companies to the college. It all depends on your knowledge and skills. The highest package is 2100000 INR and the average is 600000 INR. The college provides internship in a lot of companies.,"Infrastructure: The infra of the college is poor. Classrooms are good. There is no hostel but the college has tied up with PGs. Canteen facility is there in the campus, similar to a mess. Food is okay.","Faculty: Faculty are the best. They are brilliant and well experienced. Faculty members are helpful and they are available after the classes as well. Teaching is the best compared to the other colleges. The course curriculum is well structured. In every semester, we have 10 to 11 subjects.",Other: Campus life is very good.
Keerthana J,Keerthana J | B.Tech. in Computer Science and Engineering - Batch of 2025,Reviewed on 11 Nov 2022,3.6,3.6 \nPlacements 3\nInfrastructure 5\nFaculty & Course Curriculum 3\nCrowd & Campus Life 4\nValue for Money 3,"Very well designed course, beautiful campus and other facilities.","Placements: After the pandemic, the current batch has some rise in the number of placements around 20% of them are placed. Apart from job placements, the university has tie ups with many good companies and they come to the university with internship opportunities as well. The highest package for this year's placement season was INR 15 Lacs CTC.","Infrastructure: The infrastructure is awesome, the greenery around the campus is fascinating. The classroom environment and equipments are also well maintained. The labs are full equipped too. Wi-Fi is available for 24 hrs the hostel are good too and mess is good with properly maintained sanitation and tasty food.","Faculty: There are many teachers who are very much talented, but for obvious reason as the strength is more they can't give attention to every student present in the class. The course is very well designed, it doesn't only give exposure to your branch, but also to other branches. The semester exam level is not that hard to me it is easy to pass but the passing percentage is that you should score more than 50%.",Other: Our college organises fests very well. All types of activities are held in our college. Clubs like dance clubs and many others are available.
Saima Anayat Jan,Saima Anayat Jan | Bachelor of Commerce (B.Com.) - Batch of 2021,Reviewed on 16 Sep 2022,4.8,4.8 \nPlacements 5\nInfrastructure 4\nFaculty & Course Curriculum 5\nCrowd & Campus Life 5\nValue for Money 5,One of the best college in India as it is best in every area.,"Placements: 70% of the students got placed. The highest package was 5-6 LPA and the lowest was 2 LPA. Accenture, HiyaMee, TCS, HP, Amazon, Deloitte, etc. are top recruiting companies. 60% of students got internship in Accenture, Amazon, and HiyaMee. HR manager, financial analyst, financial advisory, HR recruitment manager, and inside sales manager are the top roles offered.","Infrastructure: Wi-Fi, digital library, labs, smart classrooms, gym, dancing area, theatre room are all the facilities provided by the college in alliance with the University Bangalore. The food served to students is South Indian.","Faculty: The faculty is highly qualified, supportive, and knowledgeable. The course curriculum is highly relevant and makes students industry ready. The difficulty level of the exam is high as it is quite tough. You have to score 50% for passing the exam.",
Namrata Adke,Namrata Adke | Master of Business Administration (MBA) - Batch of 2023,Reviewed on 31 Aug 2022,4.6,4.6 \nPlacements 4\nInfrastructure 4\nFaculty & Course Curriculum 5\nCrowd & Campus Life 5\nValue for Money 5,"Evergreen campus, great experience!","Placements: 1st post covid batch has over 200 MBA students at the city campus in Anekal, expected avg package stands at 12LPA the highest-22 the lowest-5. Top recruiters Accenture, Amazon, American Express, Bosch, Capgemini, Deloitte, Cisco, HUL, IBM, 90% of students are expected to get placed. Top roles include Senior Manager considering previous work experience .","Infrastructure: Campus is well-equipped with comfortable seating for 80 students per class, 300 in the seminar halls, labs are quite spacious too. Higginbothams helps students with their stationary needs. Campus is evergreen and maintained regularly. Wi-Fi zone is available right next to the learning center providing a sweet hang out spot. Hostel provides a B.Ed bookshelf, large desk, cupboard and a cot. Students are expected to get their own mattress which is available in the on campus department store. Hostel would be a good option for new comers as one can only shift out after one academic year according to the policy. On-campus Nescafe serves beverages, quick bites and snacks. Aroma's, on campus restaurant, serves all cuisines from tarts to shawarmas. Campus has a gym, activity centre, the library and a guest house.",Faculty: Professors are well qualified and have knowledgeable insights out of the book for the subjects they teach. Course curriculum is regularly updated and new courses are introduced and experimented every semester to keep up with student needs. 80% students pass every semester. The difficultly of the exams depend on the course work and class work carried out during the semester.,
Nischith Bashetti ...,Nischith Bashetti ... | BBA LL.B. (Hons.) - Batch of 2026,Reviewed on 17 Jul 2022,4.6,4.6 \nPlacements 4\nInfrastructure 4\nFaculty & Course Curriculum 5\nCrowd & Campus Life 5\nValue for Money 5,It is a good university in Bengaluru.,"Placements: 85-95% of students got placed in Alliance University. The highest package offered is 6 LPA, and the lowest package offered is 2 LPA. Recruiting companies are Amazon, Wipro, Cognizant, Capgemini, Microsoft etc. 85% of them got internships in the top recruiting companies mentioned above. Top roles offered in BBA LL.B. are legal advisors, financial advisory, financial analyst etc.","Infrastructure: Alliance University has a place known as a Wi-Fi zone, where you can use it for research purposes etc. They have a library for the law department, where you can find all the books related to your course. Classrooms are well-versed and maintained. The quality of hostel and food is awesome. There are single, double and three sharing rooms in hostels. The quality of food is awesome. We do have places called Aromas and Nescafe. Medical facilities are available 24x7. They conduct many sports such as football, cricket, badminton, volleyball, basketball etc. They conduct inter-college sports meets with other colleges such as Christ, Jain Universities etc.",Faculty: The teachers are very helpful and well-qualified. Teaching quality is rated 5. The course curriculum is relevant and makes the students industry-ready. Semester exams are a bit moderate. The pass percentage is 55%.,Other: I chose this course because I had good programming skills before joining in B.Teach. So I chose CSE group. The curriculum and the opportunities they provide is the thing which I liked the most. The only point is you have to utilise.
Yuvika Kumari,Yuvika Kumari | Bachelor of Business Administration (BBA) - Batch of 2024,Reviewed on 15 Jul 2022,4.2,4.2 \nPlacements 4\nInfrastructure 5\nFaculty & Course Curriculum 4\nCrowd & Campus Life 4\nValue for Money 4,I am satisfied with the course and faculty.,"Placements: We have a good percentage of placements every year, especially an MBA. Almost 90% of the students are placed with an average package of 10 LPA with 4 LPA being the lowest. In bachelor's, the average package is 7 LPA. Many companies like TCS, HCL, Oracle, Toyota, etc., are our recruiting partners.",Infrastructure: The infrastructure is breathtaking for sure. It has a beautiful library with a lot of books. The admin block serves the true purpose of beauty. We have hostels and chilling zones. There is lush greenery on our campus which helps students to enjoy the beauty of nature.,"Faculty: The teaching quality is very helpful. Faculty is friendly and always ready to help. Talking about the exams, one has to give their 100% to get good grades. About 50% is the passing percentage. All over, our college gives a good learning experience and industry knowledge.",Other: Available of scholarship and more opportunities.
ANKITH M,ANKITH M | B.Tech. in Electrical and Electronics Engineering - Batch of 2025,Reviewed on 23 Jun 2022,4.4,4.4 \nPlacements 4\nInfrastructure 5\nFaculty & Course Curriculum 4\nCrowd & Campus Life 5\nValue for Money 4,Our college has good infrastructure and facilities.,"Placements: We have placements right from the 2nd semester of 1st year where we learn a lot regarding interview and communication skills, speaking skills, and listening skills which will help us a lot in our placements. In our college, we have a good rate of placements for all streams. The college is better in placements.","Infrastructure: We have a Wi-Fi facility, a huge library, huge classrooms, and a seminar hall in our college. There is a food court and a restaurant on campus. It is a 50-acre campus. We love the environment and the greenery. The entire campus is Wi-Fi-enabled. The hostels are also good but a bit expensive and you have a laundry facility also.","Faculty: Faculty members of our college are experienced and some have more than 20 years of experience in our college. All the notes are accessible online through MS TEAMS. We have examinations committed in the university which are very strict and the curriculum is as usual. Overall, it is above average.",Other: Our college has best campus life .
