Author_name,Batch_name,Review_date,total_star_comment,all_stars,Title_comment,Placements,Infrastructure,Faculty,other,no_topic,,,
Ankush Tiwari,Ankush Tiwari | MBA in Business Analytics - Batch of 2021,Reviewed on 31 Aug 2020,4.8,4.8 \nPlacements 5\nInfrastructure 4\nFaculty & Course Curriculum 5\nCrowd & Campus Life 5\nValue for Money 5,Education at this college is excellent as it includes classroom learning and practical exposures.,"Placements: I am from an MBA in marketing from the 2019-2020 batch and compete in 2021. University's placement records have been remarkably consistent over the years. It is one of the top private institutions of India for its placement records. Jain University develops relevant skills in its students, making them align with the job requirements. It ensures 100% placement of its students. Last year the highest salary package offered was 18 LPA, the lowest salary package offered was 4 LPA and the average salary package offered was 6 LPA. Jain University offers summer internships to its students and provides industry recognised certifications. Companies which offer internships are Shriram Finance, Maruthsakha, Hunger Box, Badgefree, Oligosoft, Smart Tots, KSA Intersperse, Indwell Retail Pvt Ltd and Piusm Food Service. Top recruiting companies are Amazon, Intra, Nescafe, Oracle Financial Services, NTT Dadra Global, PNB Finance and TCS. Top roles offered in internship and placement are supervisor, executive, group manager, HR, sales group manager, chief marketing officer, operation manager, marketing manager, office manager, receptionist and purchasing manager.","Infrastructure: The college provides high tech equipment to make your learning experience easier. There is a canteen inside the campus which serves snacks and drinks at an affordable price. Classrooms are big, and each room consists of a projector used for teaching. Wi-Fi facilities are available on the whole campus. Our college deemed to be University provides various facilities. The college provides facilities include hostels for both boys and girls. Hostels provide food, laundry and recreational facilities. Hostels also provide amenities like warden supervision, hygiene, safety, kitchen facilities, medical check-up, telephone and a state-of-the-art gymnasium.","Faculty: Faculty members are highly educated, and teaching is very peaceful and quite good. Overall experience in the is very good. The course curriculum is relevant. Classes are held 6 days in a week excluding first and second Saturday and national holidays. Assignment and projectors are assigned to students at an alternate basis, which carries some percentage that is added to the students' final verdict. Faculty members are very friendly and motivate students when they fall down. They bring out their inner talents by providing the platform. They provide students with an industry visit to companies like ice cream factory and mother's diary.","Other: There are various fests and activities like Cranium fest, abroad tour and management fest. An organisational study is conducted for two weeks.",,,,
Ajeet Sah,Ajeet Sah | MBA in Banking Finance and Allied Services - Batch of 2020,Reviewed on 29 Jul 2020,3.4,3.4 \nPlacements 4\nInfrastructure 3\nFaculty & Course Curriculum 4\nCrowd & Campus Life 4\nValue for Money 2,No value for money. Inexperienced faculty members and poor placements.,Placements: Batch of 2018-20 of Banking students had to struggle for placement. Still many of them are yet to placed. Avg placement is Rs. 4 Lacs and the highest is 7 Lacs. Hardly 10%of the strength got internship from the college. 70% student got placed and rest are still seeking for job.,"Infrastructure: Course content is par excellent but the faculty are unable to deliver in the way it is designed. No playground, no mess, low quality food and useless medical facilities. No Wi-Fi. The hostel provides the same food everyday. The classes are fully equipped with projector and smart board but it is hardly used.",Faculty: Course content is great but the teachers are not qualified enough to deliver the required knowledge for students. Teaching quality is Orthodox and honestly it does not make students for industry ready. The teachers knows whatever is there in the PPT and nothing more they know and share.,"Other: Our college conducts fests, which is the best part. We organise international fest. Every year, preliminary rounds are also conducted in India and the final round we host it is from a foreign country. The college sponsors a free trip for a week for the winners.",,,,
Anonymous,Anonymous | MBA in Banking Finance and Allied Services - Batch of 2020,Reviewed on 29 Jul 2020,2.6,2.6 \nPlacements 3\nInfrastructure 3\nFaculty & Course Curriculum 2\nCrowd & Campus Life 4\nValue for Money 1,The worst placement and curriculum.,"Placements: Around 60% of the students are placed. The highest package - 18L, the lowest- 3L &Average- 5L. Top recruiters include- Morgan Stanley, PWC, Federal Bank, Honeywell. Internship percentage 45%- companies include HDFC, Moodies Analytics, Morgan Stanley.","Infrastructure: Adequate facilities such as Lab, Classrooms, Library but the worst Wi-Fi network. There is no canteen, no medical facility, no sports no games or anything in this college. The campus has very poor student-friendly facilities no canteen, no play areas, the gym is locked 24/7, poor lift facility and no Wi-Fi connection.","Faculty: The teachers are helpful, with 70% of the faculty adequately qualified. The teaching quality is average. The curriculum is below average for Masters, with minimal industry relevance. There were minimal Industry ready courses or interactions to keep up to standards with the industry. Underrated guest faculty members from industries who had no relevant approach.","Other: I chose this course because it is relevant to marketing strategy. The best thing about this course is that we get theoretical as well as practical knowledge. Our college has conducted many events, fest, inter-college competitions, sports activities, and scholarship tests—during the whole year.",,,,
Anonymous,Anonymous | Master of Business Administration (MBA) - Batch of 2021,Reviewed on 25 Jul 2020,3.4,3.4 \nPlacements 3\nInfrastructure 3\nFaculty & Course Curriculum 4\nCrowd & Campus Life 4\nValue for Money 3,It is not a good campus for a management student .,"Placements: I planned to specialise in HR, but the course which I take under don't have an important paper in HR, so I had to go with marketing. Even the recruitment for HR were not top companies as to the latest report. Only a few got placements so far. Due to the current epidemic, we don't have any hope in getting a placement at the end of our academic calendar.","Infrastructure: Faculty members in our college are good and highly qualified in this field. We also had guest faculty members who were highly professional people. But due to the current situation, teachers cannot take the entire class either can teach us through video conferencing. We faced a lot of difficulties while we appeared for exams which were held at the beginning of this month.","Faculty: The course curriculum had to improve according to the current trend. The same papers were taught 20 years before. Faculty members are updated. Before the exam date, we get the textbooks. So we lack in time to get through the textbooks so far.","Other: There are many events happening in our college. The crowd is diversified and cooperative. Our college is located in a prime area, so it is easily accessible.",,,,
Dishanee Gupta,Dishanee Gupta | MBA in Finance - Batch of 2021,Reviewed on 21 Jun 2020,5,5.0 \nPlacements 5\nInfrastructure 5\nFaculty & Course Curriculum 5\nCrowd & Campus Life 5\nValue for Money 5,It is a great institute for learning new statics.,"Placements: Most of the students got placed in our course. The highest salary package offered was 30 LPA, and the lowest salary package offered is 3 LPA. The average salary package offered is 7 LPA. Top recruiting companies like 24x7 Customer Pvt LTD, 29K Investment Advisers Pvt. Ltd, 99 acres.com, and Fidelity. Almost 85% of the students got internships from Accenture and Acer, Flipkart Internet Pvt. Ltd. Academic counsellor, Assistant and Associate are the roles offered.","Infrastructure: Our college provides a great infrastructure with great facilities. The university provides hostel facility. Hostels are well furnished, spacious and well-ventilated with all required facilities such as furniture, housekeeping services, food and security.",Faculty: Professors in our college are helpful with experience and quality of knowledge that gives you an idea of learning with fun. They help us in improvising skills in education with an amazing quality of learning things regarding studies like seminars.,"Other: The year starts with a fest for Juniors organized by Seniors called as Prichard and then later in the year Cranium which is a international level fest will be held around in October or November, lot of other opportunities to participate in other college fests. Minorities can apply for Merit Cum means scholarships on the basis of their academics which can be applied online on National Scholarship Portal.",,,,
PUJA PODDAR,PUJA PODDAR | MBA in Marketing - Batch of 2020,Reviewed on 13 Apr 2020,4.4,4.4 \nPlacements 3\nInfrastructure 5\nFaculty & Course Curriculum 5\nCrowd & Campus Life 5\nValue for Money 4,"If you want to experience corporate life with some fun, join CMS Business School.","Placements: 80% of people are placed. The highest package 18 Lacs ( Qatar) and the lowest was 3 lacs ( India). In my course, the highest was 12 lacs, the lowest - 4 lacs and average - 6 lacs. Nestle, Accenture, Moxtra solutions and many more visit the campus. 95% got internship. Business development executive, channels specialist, sales manager, marketing manager are the roles offered..","Infrastructure: Amazing infrastructure, it's a mini corporate world with posh life. All kind of facilities are here like Wi-Fi, labs, classrooms, library, sports, dance and singing lounge as well. Jain has the best campus for CMS with amazing facilities to never let their students down.","Faculty: Amazing professors are there. Teaching quality is great. Many of them are newly recruited teachers, many of them are from abroad as well. Many teachers have good industry experience. The course curriculum is relevant and yes it does make students industry ready.","Other: The events, fests, and extracurricular activities are conducted in the college.",,,,
Riyam Shah,Riyam Shah | MBA in Finance - Batch of 2021,Reviewed on 12 Apr 2020,3.4,3.4 \nPlacements 3\nInfrastructure 4\nFaculty & Course Curriculum 3\nCrowd & Campus Life 4\nValue for Money 3,"The infrastructure is good, the curriculum can be improved","Placements: The placements are decent! They are not that great, placements can improve. The highest placement in 2018 was 18L. Majority of the students gets placed I. e about 90%. Majority of the placements are for marketing and then for finance.",Infrastructure: The infrastructure of the college is amazing. There are multiple seminar halls and 2 basement parking. The college provides Wi-Fi and there are huge range of books in the library with books aswell. There's a games room and a gym in the college as well.,Faculty: Faculty is too good and majority of them are well qualified with thorough knowledge of the curriculum. The teaching quality is also above average. The curriculum is still less advanced. At PG level I feel the curriculum could be more advanced and exhaustive.,Other: Everything is this college is good. You can find tooooo many people in this college from different parts of India and outside india .,,,,
Mayank Agarwalla,Mayank Agarwalla | MBA in Marketing - Batch of 2020,Reviewed on 4 Apr 2020,5,5.0 \nPlacements 5\nInfrastructure 5\nFaculty & Course Curriculum 5\nCrowd & Campus Life 5\nValue for Money 5,"College, teachers and placements are good.","Placements: About 90% of the students from our course are placed. The highest salary package offered is 18 LPA in Khimji Ramdas, and the average salary package offered is 5-6 LPA. Top recruiting companies are ICICI Bank, PWC, Deloitte, Bandhan Bank, HDFC Bank and Perfetti. There were 100% internship opportunities for students.","Infrastructure: Infrastructure and facilities are excellent for the students on the campus. Classrooms are great, and computer labs are good functioning. The library is one of the best, and seminar halls are healthy accommodating. Hostel facilities are excellent as it has tied up with an external organisation to provide the hostel facilities.",Faculty: The best thing about the course is faculty members. They come up with a good number of years of industrial experience. Their teaching methods and assignments indulge students in every manner that the concepts get inscribed within them. This technique helps students to excel in the examinations.,"Other: I chose this course because I want to be a tax consultant. They also offer professional course certifications. There are fests. They also allow us to attend inter-college fests,",,,,
Shashank Singh,Shashank Singh | MBA in Finance - Batch of 2018,Reviewed on 7 Jan 2020,4.4,4.4 \nPlacements 4\nInfrastructure 5\nFaculty & Course Curriculum 4\nCrowd & Campus Life 5\nValue for Money 4,"Good facilities and good infrastructure, the faculty is also good.",Placements: The placement of the college is very good the placement department help the students during the placements and they follow up with the company to get the students placed the highest average package in my course was around 6 Lacs the lowest average package was around 3 and half Lacs the roles which was offered in finance department was of analyst and banking industry.,Infrastructure: The infrastructure of the college is also very good they have good wi-fi service which helps the students get to browse the internet and learn through it and the library also has good amount of books relevant the subject and there are different departments for different subjects. There are many sports competitions which are held in the college.,"Faculty: The teaching quality was good and the teachers are helpful, they guide you in difficulties and the subjects taught are also relevant to the course. The students have an insight about the industry with the help of the subjects taught and the students get the learn more about the industry through projects and assignments.","Other: In this college, there were good scholarships opportunities.",,,,
Harshi Agrawal,Harshi Agrawal | MBA in Human Resource Management - Batch of 2020,Reviewed on 5 Jan 2020,4.2,4.2 \nPlacements 2\nInfrastructure 5\nFaculty & Course Curriculum 5\nCrowd & Campus Life 5\nValue for Money 4,"I am dissatisfied with placements, but I am happy with infrastructure and course.","Placements: Till date, about 2% of the students got placed. In our course, the highest salary package offered is 12 LPA, the average salary package offered is 4 LPA and the lowest salary package offered is 3 LPA. Companies like Oracle, Atkins, Bodycraft and Blue Ocean are the top recruiters of our college. Students are offered with roles like a management trainee, recruitment specialist, learning and development trainee and talent acquisition specialist. Almost 95% of the students got an internship in companies like Tavant, Udaan, Total Environment, etc.","Infrastructure: Our college has poor Wi-Fi, but labs and classrooms have sufficient space and facilities. The library has all the books and good space for sitting. Quality and taste of the food served in the hostel was above-average. Medical facilities were good, but sports and games were not available.","Faculty: Teachers in our college are helpful, qualified and knowledgeable. I would rate 9 out of 10 for teaching quality. The course curriculum is not that relevant, but few subjects are relevant. It makes us industry-ready. Subjects like quants or stats are not much useful, and the content of the course is repetitive.","Other: The crowd, campus and everything is in a very bad situation. Students who come from outside the state will not sustain here because the hostel facility provided is very bad.",,,,
Divin Somanna,Divin Somanna | MBA in International Business &amp; Airport and Aviation Business Management - Batch of 2018,Reviewed on 1 Apr 2019,3.4,3.4 \nPlacements 3\nInfrastructure 3\nFaculty & Course Curriculum 3\nCrowd & Campus Life 4\nValue for Money 4,Good college for management students.,Placements: Placements for aviation is average. 6 out of 20 students from our batch were placed in aviation sector. The average salary is 3 Lacs per annum. All students were offered internship in different airlines and airports. There was no stipend for our internship.,Infrastructure: Infrastructure is good. Located in prime location. Classrooms and labs are neat and very well maintained. They only serve veg inside college. Quality of food and beverage is fine. We didn't face any infrastructure issues except for playgrounds. Hostel is a bit far from college.,Faculty: Course and curriculum is a little heavy. We had almost 10 subjects per semester. Most of the Faculty is qualified and knowledgeable. Powerpoints were used in all the classes for teaching. We had industrial visit to 2 airports and several other non aviation companies.,Other: They don't cater to complaints of students. No decent attendance portal. No system to manage notes. All they care about is money.,,,,
Rahul Singh,Rahul Singh | MBA in Marketing - Batch of 2020,Reviewed on 16 Feb 2019,4.4,4.4 \nPlacements 5\nInfrastructure 4\nFaculty & Course Curriculum 5\nCrowd & Campus Life 4\nValue for Money 4,"I am satisfied, and the ROI is good if you have the zeal to find success from hard work.",Placements: The college provides good placement opportunities for the ones who have the zeal to work hard and acquire continuous knowledge. Placements are even provided for 1st-semester students for internships. There is also a startup club where interested students along with the seniors and alumni work together for opportunities to enter into the competitive market.,Infrastructure: The infrastructure and environment of CMS give you the feel of real corporate offices. It is because you are going to take up jobs after your studies. It makes you corporate ready so that you don't feel bored working long hours in the same building. Classrooms and conference halls are equipped with digital screens and high-speed internet-based learning.,"Faculty: Faculty members of the college are highly knowledgeable. They have a very practical way of delivering concepts of the subjects in classrooms and labs. MBA course is offered here with six specialisations to choose from core marketing, core finance, core HR, marketing+HR, marketing+finance, and HR+finance.",Other: I chose the marketing and finance because I would like to get into the field of marketing and financial sector where I can explore more about the concept of business as well as with the stock markets.,,,,
Kunal Kapoor,Kunal Kapoor | MBA in Banking Finance and Allied Services - Batch of 2020,Reviewed on 15 Oct 2018,4.2,4.2 \nPlacements 4\nInfrastructure 4\nFaculty & Course Curriculum 5\nCrowd & Campus Life 4\nValue for Money 4,Faculty are experienced and helpful. Facilities are pleasing. Placements in 2018 are remarkable.,"Placements: Placements for our senior batch were very impressive. Around 98% of the students were placed. Salary packages offered ranged from 6 LPA to 12 LPA. The average salary package offered was 9 LPA. Around 50% of the students got internships from college. The highest stipend offered was Rs. 32,000 per month, the average stipend offered was Rs. 15,000 per month and the lowest stipend offered was Rs. 8,000 per month.",Infrastructure: Classrooms have good lighting and air-conditioners to maintain a proper temperature as per the weather outside. Wi-Fi facility is available in the college. We also receive newspaper daily to be up to date with current affairs. The library has a lot of books of all editions. Hostel rooms are quite good. The canteen is hygienic and provides decent food.,"Faculty: Teachers in our college are very helpful, qualified and quite knowledgeable. They answer all our queries and doubts. They use all the proper and effective methods like charts and slides to teach us. They give us creative assignments to broaden our views towards subjects.",Other: It is a deemed university and thus emphasises more on practical knowledge and applied to learn compared to other universities.,,,,
Sangam Agarwal,Sangam Agarwal | MBA in Marketing - Batch of 2019,Reviewed on 24 Sep 2018,4.2,4.2 \nPlacements 4\nInfrastructure 4\nFaculty & Course Curriculum 4\nCrowd & Campus Life 4\nValue for Money 5,"It's a great college. We have lots of fun, including academics.","Placements: Placements in our college are good. Almost 90% of the students are placed. For marketing students, they offer roles like sales, analyst, CRM roles and digital marketing roles. Companies like HDFC, Piramal, Deloitte, Honeywell, Kent, KPMG, Reliance, etc., visited our campus. Almost 90% of the students also get an internship with an average stipend of Rs. 15,000 per month.","Infrastructure: The college provides Wi-Fi, labs, classrooms, library and gym. Canteen is not that great, and there is some parking issue, but the rest of it has great infrastructure. They opened a new campus from next month. We hope for more improvement. Overall, it is a peaceful campus.","Faculty: Teachers are helpful, qualified and knowledgeable. They teach with practical and live examples. They also provide a lot of case study, presentation and assignment which improve us as a student and also help in our future. They provide a course curriculum, which is very useful.",Other: It's a diverse crowd filled with talented students. The students are not only good with their curricular but also in organizing college events.,,,,
Chandan Gowda,Chandan Gowda | PG Diploma in Enterprise Management + PGDM - Batch of 2018,Reviewed on 12 Sep 2018,4.8,4.8 \nPlacements 5\nInfrastructure 5\nFaculty & Course Curriculum 4\nCrowd & Campus Life 5\nValue for Money 5,"Good placements, infrastructure and faculty.","Placements: Placements in the college were good. Almost 70% of students in our class are placed, and we still have an opportunity. Topmost companies form all the sectors visit the college so that we can choose wisely and participate. Overall, we have good placements. The salary packages start from 3 to 12 LPA. The average package offered is 5 to 6 lacs per annum. We have a seperate placement cell which is doing an amazing work. They are understanding the need and wants of students, and they are guiding the students to build their career.","Infrastructure: The campus is good with a nice atmosphere, situated at the centre of the city. It is convenient for everyone to travel. There are spacious classrooms and high-tech labs. There is a library in the college which has a huge variety of books not only related to the course but also has knowledge-based and novels. Wi-Fi facility is available in the computer labs. There is a huge indoor basketball court where many activities such as dance and college fest take place.","Faculty: The faculty members are knowledgeable and helpful. They use presentations and slides to deliver their lectures. Every semester, group assignment and presentation is important to students. A two-month internship was compulsory in the summer which was provided by the college iitself. Teachers helped in making the perfect project based on the summer internship.",Other: Food served is good. The campus crowd is amazing.,,,,
